City,Cuisines,Total_Restaurants,Average_Rating,Total_Votes
Des Moines,"American, Italian",1,4.1,476
Des Moines,"American, Pizza, Bar Food",1,4.2,370
Des Moines,"Asian, Chinese",1,4.0,411
Des Moines,"Asian, Sushi, Thai",1,4.1,496
Des Moines,"Asian, Vegetarian, Vietnamese, Bubble Tea",1,4.4,659
Des Moines,"BBQ, Burger, Desserts",1,4.5,1025
Des Moines,"BBQ, Caribbean, Cajun",1,4.5,674
Des Moines,"Breakfast, Mexican, Southwestern",1,4.0,214
Des Moines,"Burger, Desserts, Vegetarian",1,4.2,943
Des Moines,Chinese,1,4.1,218
Des Moines,"Chinese, Pizza",1,4.6,728
Des Moines,French,1,4.3,532
Des Moines,"Italian, Pizza",1,4.5,1109
Des Moines,"Japanese, Sushi",1,4.8,860
Des Moines,Latin American,1,4.0,157
Des Moines,"Latin American, Mexican",1,3.2,113
Des Moines,"Seafood, Sushi",1,4.2,530
Dicky Beach,"Coffee and Tea, Tea, Modern Australian",1,3.6,29
Doha,"American, Tex-Mex",1,3.8,155
Doha,Chinese,1,4.9,182
Doha,"European, Arabian, Japanese, Bakery, Desserts",1,3.9,197
Doha,Indian,5,4.18,1132
Doha,"Indian, Street Food",1,3.4,74
Doha,International,2,4.050000000000001,125
Doha,Italian,1,4.5,145
Doha,"Kerala, Indian, Chinese, Bakery",1,4.0,322
Doha,"North Indian, Chinese, Turkish",1,3.8,263
Doha,Pakistani,2,4.0,272
Doha,"Seafood, American",1,4.0,180
Doha,Steak,1,3.6,115
Doha,"Steak, American",1,4.0,41
Doha,Thai,1,4.3,73
Dubai,"American, Burger",1,4.5,1388
Dubai,"American, Desserts",1,4.7,2424
Dubai,"American, Mexican, Burger",1,3.7,500
Dubai,"Asian, Chinese",1,4.3,661
Dubai,Cafe,1,4.5,403
Dubai,"Cafe, Burger",1,4.3,386
Dubai,"Continental, Indian",1,4.9,641
Dubai,"Fast Food, Burger",1,4.3,1351
Dubai,"Goan, Chinese, Indian, North Indian",1,4.3,544
Dubai,Indian,3,4.7,2955
Dubai,"Indian, Asian",1,4.4,552
